No,username,Date,cleaned_tweets
79,IntTechAU,2020-06-23 22:59:14,MSCloud: Don’t miss this fireside chat with Craft Worldwide for insight into the tools you can use to help your rem… https://t.co/xMuKM7D8i9
80,surface,2020-06-23 22:59:08,@cspkcats A higher configuration of Surface Pro 7 would be perfect for what you're looking for! It offers the power… https://t.co/aZkb0iouEw
81,RonaldTooTall,2020-06-23 22:58:37,Former employees at #Microsoft's Mixer say the company failed to take action on #misconduct complaints about 'toxic… https://t.co/AzAoVkvoS0
82,jonsproule,2020-06-23 22:58:19,MSFT  BULLISH
83,PeterTrader99,2020-06-23 22:58:18,@TraderYet Options? $MSFT I sold too last week but bought back and kept selling higher few more times 😂
84,NiteWolf03,2020-06-23 22:56:53,@optionsappetite I thought the same thing. How dare you $MSFT! Shame
85,Precision_Peak,2020-06-23 22:55:39,$MSFT 200 call options. Sold! https://t.co/UumnK3I2Su
86,TraderYet,2020-06-23 22:55:33,@PeterTrader99 Sold my MSFT last week and now I own none of these forkers.
87,aaaamhim,2020-06-23 22:53:25,$CBL traders jumping in FINALLY twitter search just got hot again the last 5 minutes. SHORT SQUEEZE!!!$CBL OVERSOL… https://t.co/gUMWxbGBvo
88,defcon_5,2020-06-23 22:52:32,It’s time to #BreakUpBigTech #BreakUpBigData.You up @TheJusticeDept @JusticeATR @FTC @ewarren @senblumenthal… https://t.co/w8vXoUIRAV
89,LexScobey,2020-06-23 22:51:41,@ambatthew @DuckDuckGo it's been a big part of their marketing for the past couple of years and while it should of… https://t.co/SLSigUhK7S
90,uber_trading,2020-06-23 22:48:04,@cperruna Same. I won't be the least surprised if it keeps going for a bit more but the headwinds are growing now -… https://t.co/h5Yu5bkcvq
91,musicnews360,2020-06-23 22:47:00,Florida man spat on gay bartender's face after ... $AAPL $AMZN $BTC $ETH $FB $GOOG $MSFT $QQQ $SPY $TSLA #cnbc… https://t.co/LRKzSJSfuu
92,Hoorge,2020-06-23 22:45:03,@mannys_msft Hey good to connect with you today #MSTeams
93,guysherman,2020-06-23 22:42:26,@nzigel What’s crazy is it was only like a year-ish ago that they MSFT and AAPL hit the 1T mark and they’ve grown ~50% since then
94,ItsHer_Nessa,2020-06-23 22:42:09,@Njabs_MSFT Zara for the babies
95,Windows,2020-06-23 22:39:23,@ysharad28 Hey there. We have tons of educational resources you might like check it out: https://t.co/xLEutmkmqR
96,Speculator5150,2020-06-23 22:38:10,@rationalwalk I understand why people felt that way about Buffet... His purchase of IBM and refusal to buy MSFT eve… https://t.co/eeCECr89fi
97,nickspag1,2020-06-23 22:37:06,@clint_francis Yup! I don’t really play enough for it to be a tough decision. Disappointing move outta MSFT.
98,MinteractApp,2020-06-23 22:36:56,Tuesday's Top Sell Flow in #NASDAQ animated. #NASDAQ100 $MSFT $NVDA $ADBE $ORCL $EBAY $BIIB $AMGN $DELL $INTU $VRTX… https://t.co/dyqjtGTpk1
99,TyrreWhitt,2020-06-23 22:36:42,@msft_businessCA You see when certain people couldn't get fired they wanted to fire you instead. #H
100,Principal_IT,2020-06-23 22:36:03,Former employees at Microsoft's Mixer say the company failed to take action on misconduct complaints about 'toxic w… https://t.co/AjF54ZhjZ5
101,MSFT__Incel,2020-06-23 22:35:46,@sam_kriss Oh yeah I totally agree there. People already hitting out on him when he did nothing wrong
102,JohnMarlin_MSFT,2020-06-23 22:35:41,Trumpsky:  Slow down the testing pleaseTrumpsky lapdogs: He's just kiddingTrumpsky: I don't kidTrumpsky lapd… https://t.co/tjrpt6BsuT
103,MS_ITPro,2020-06-23 22:35:10,Start using #Azure Synapse Analytics in just a few minutes and start gaining valuable insights faster. Get the tool… https://t.co/41mlt06lrG
104,sam_kriss,2020-06-23 22:35:04,@MSFT__Incel i liked the display personally but now he has a huge undeserved target on his back as a result of someone elses understanding
105,VisualStudio,2020-06-23 22:35:01,Straight from #MSBuild @ErikaSweet_ and @NickUhlenhuth are ready to give you a detailed look at developing softwar… https://t.co/WU0VHxLsMo
106,gavinbarron,2020-06-23 22:34:43,@adhall_msft Thanks I'll see what the lawyer says tomorrow when she's back in the office.
107,MSFT__Incel,2020-06-23 22:33:36,@acczibit Yeah I wanna kms
108,MSFT__Incel,2020-06-23 22:33:15,@sam_kriss Is it? Idk no one is thrown under the bus. An innocuous symbol of unity doesnt hurt anyone
109,OpenAtMicrosoft,2020-06-23 22:33:09,Get hands-on guidance for deploying and managing #Linux workloads on #Azure. Download the complimentary e-book:… https://t.co/XuaXTQr2V4
110,MSPowerBI,2020-06-23 22:33:00,The June 2020 release is full of updates and enhancements! Check out the full #PowerBI Desktop Update video to lear… https://t.co/fSUvF4Xzng
111,MSPowerApps,2020-06-23 22:30:44,You don’t need to be a professional developer—just follow these easy steps to start creating your own low-code app:… https://t.co/VTjmWFfDbO
112,Microsoft365,2020-06-23 22:30:10,Don't know where to start when it comes to compliance? Discover our 8 tips to focus your compliance strategy — to p… https://t.co/gX5wDSHikh
